# lambda/nm,I/A
5.000000000000000000e+02,1.139292190407930258e-09
5.100000000000000000e+02,1.357567815890197076e-09
5.200000000000000000e+02,5.297006853518635993e-10
5.300000000000000000e+02,9.181380589896758484e-10
5.400000000000000000e+02,1.024652029021438014e-09
5.500000000000000000e+02,9.370280128284306217e-10
5.600000000000000000e+02,1.098387192697811789e-09
5.700000000000000000e+02,8.199887313979623325e-10
5.800000000000000000e+02,8.193999157033757843e-10
5.900000000000000000e+02,1.478633729887275094e-09
6.000000000000000000e+02,1.101055380670659653e-09
6.100000000000000000e+02,8.665025923569578025e-10
6.200000000000000000e+02,5.641215108250823836e-10
6.300000000000000000e+02,7.061961756805364022e-10
6.400000000000000000e+02,6.085356443565070299e-10
6.500000000000000000e+02,9.538883414061767970e-10
6.600000000000000000e+02,1.204728058359558650e-09
6.700000000000000000e+02,8.746672047640876738e-10
6.800000000000000000e+02,1.142488060744306104e-09
6.900000000000000000e+02,1.174588484632819641e-09
7.000000000000000000e+02,7.470331549189250780e-10
7.100000000000000000e+02,1.288628913634607240e-09
7.200000000000000000e+02,1.330677200738283447e-09
7.300000000000000000e+02,1.151578925925568097e-09
7.400000000000000000e+02,9.858897134969599562e-10
7.500000000000000000e+02,1.149027518246350866e-09
7.600000000000000000e+02,9.144957465862984923e-10
7.700000000000000000e+02,8.245828945733612635e-10
7.800000000000000000e+02,1.411388664961173767e-09
7.900000000000000000e+02,2.014281341828440527e-09
