# lambda/nm,V/V
5.000000000000000000e+02,-1.483073324239920221e-01
6.000000000000000000e+02,-1.484326287860396332e-01
7.000000000000000000e+02,-1.486165227430010782e-01
8.000000000000000000e+02,-1.486457134285851800e-01
9.000000000000000000e+02,-1.477324740875154141e-01
1.000000000000000000e+03,-1.474509492307469194e-01
1.100000000000000000e+03,-1.480916138057846998e-01
1.200000000000000000e+03,-1.485355652191340803e-01
1.300000000000000000e+03,-1.486266425912625977e-01
1.400000000000000000e+03,-1.485224687555691814e-01
1.500000000000000000e+03,-1.472484235730444346e-01
1.600000000000000000e+03,-1.478157430480749601e-01
1.700000000000000000e+03,-1.483522775627249268e-01
1.800000000000000000e+03,-1.481561794281708033e-01
1.900000000000000000e+03,-1.462607720770298103e-01
2.000000000000000000e+03,-1.464521318270142480e-01
2.100000000000000000e+03,-1.466476065752687352e-01
2.200000000000000000e+03,-1.424278848355244598e-01
2.300000000000000000e+03,-1.373255643309446994e-01
2.400000000000000000e+03,-1.320505617200088966e-01
2.500000000000000000e+03,-1.300346141715369996e-01
2.600000000000000000e+03,-1.267871606321511746e-01
2.700000000000000000e+03,-1.271300688728387862e-01
2.800000000000000000e+03,-1.187486666229575771e-01
2.900000000000000000e+03,-1.104197415224314194e-01
3.000000000000000000e+03,-1.111931552909989490e-01
3.100000000000000000e+03,-1.152167335299172091e-01
3.200000000000000000e+03,-1.278248051357241399e-01
3.300000000000000000e+03,-1.360751779264303130e-01
3.400000000000000000e+03,-1.396533303358564460e-01
3.500000000000000000e+03,-1.404546110867173070e-01
3.600000000000000000e+03,-1.342585938433691894e-01
3.700000000000000000e+03,-1.116576037770257018e-01
3.800000000000000000e+03,-8.651082711755953003e-02
3.900000000000000000e+03,-7.757074110668740752e-02
4.000000000000000000e+03,-8.188996618522970117e-02
4.100000000000000000e+03,-9.549532361107657130e-02
4.200000000000000000e+03,-1.199801748289184844e-01
4.300000000000000000e+03,-1.319982618886812731e-01
4.400000000000000000e+03,-1.323195014321982832e-01
